,text,tag,raw,!stopwords,stemmed,preprocessed
10,"Подскажите, пожалуйста. А в дальнейшем можно переводиться внутри института на другое направление? Например с 02.03.02 на 01.03.02? По ошибке выбрали только 1 направление.",обучение,подскажите  пожалуйста  а в дальнейшем можно переводиться внутри института на другое направление  например с          на           по ошибке выбрали только   направление ,подскажите дальнейшем переводиться внутри института другое направление например ошибке выбрали направление,подскаж дальн перевод внутр институт друг направлен например ошибк выбра направлен,дальнейший переводиться внутри институт направление например ошибка выбирать направление
11,Какие изучаются языки программирования. На слайдах название питона только увидел,обучение,какие изучаются языки программирования  на слайдах название питона только увидел,какие изучаются языки программирования слайдах название питона увидел,как изуча язык программирован слайд назван питон увидел,изучаться язык программирование слайд название питон увидеть
12,"Добрый день! Подскажите,пожалуйста, у нас в списках с одним абитуриентом одинаковое количество баллов и отдельно по предметам тоже одинаково, в этом же случае считается средний балл аттестат? Если это так,то в этом файле средний балл аттестата подсчитан или это будет уже в ранжированных списках считаться?",порядок приема,добрый день  подскажите пожалуйста  у нас в списках с одним абитуриентом одинаковое количество баллов и отдельно по предметам тоже одинаково  в этом же случае считается средний балл аттестат  если это так то в этом файле средний балл аттестата подсчитан или это будет уже в ранжированных списках считаться ,подскажите списках одним абитуриентом одинаковое количество баллов отдельно предметам одинаково случае считается средний балл аттестат файле средний балл аттестата подсчитан ранжированных списках считаться,подскаж списк одн абитуриент одинаков количеств балл отдельн предмет одинаков случа счита средн балл аттестат файл средн балл аттестат подсчита ранжирова списк счита,список абитуриент одинаковый количество балл отдельно предмет одинаково случай считаться средний балл аттестат файл средний балл аттестат подсчитывать ранжировать список считаться
13,"Как это сделать лучше позвонить в приёмную комиссию? Проблема, что мы не можем отозвать через госуслуги.",госуслуги,как это сделать лучше позвонить в приёмную комиссию  проблема  что мы не можем отозвать через госуслуги ,сделать позвонить приёмную комиссию проблема не можем отозвать госуслуги,сдела позвон приемн комисс проблем не мож отозва госуслуг,сделать позвонить приемный комиссия проблема не отзывать госуслуга
14,"Добрый день, скажите, пож-та,  сколько раз в неделю пары по английскому языку и  есть возможность посещать   доп. занятия, платно/бесплатно?",обучение,добрый день  скажите  пож та  сколько раз в неделю пары по английскому языку и есть возможность посещать доп  занятия  платно бесплатно ,скажите пож та сколько неделю пары английскому языку возможность посещать доп занятия платно бесплатно,скаж пож та скольк недел пар английск язык возможн посеща доп занят платн бесплатн,сколько неделя пара английский язык возможность посещать допы занятие платно бесплатно
15,"Здравствуйте, какие условия получения общежития?",общежитие,здравствуйте  какие условия получения общежития ,какие условия получения общежития,как услов получен общежит,условие получение общежитие
16,"Реально ли получить общежитие, если прописан в ближ. Подмосковье?",общежитие,реально ли получить общежитие  если прописан в ближ  подмосковье ,реально получить общежитие прописан ближ подмосковье,реальн получ общежит прописа ближ подмосков,реально получать общежитие прописывать ближ подмосковье
17,будет ли проходится тфкп на матанализе? просто инетерсно,обучение,будет ли проходится тфкп на матанализе  просто инетерсно,проходится тфкп матанализе просто инетерсно,проход тфкп матанализ прост инетерсн,проходиться тфкп матанализ просто инетерсный
18,Кому выдаётся улучшенное общежитие?,общежитие,кому выдаётся улучшенное общежитие ,кому выдаётся улучшенное общежитие,ком выда улучшен общежит,выдаваться улучшать общежитие
19,Просто интересно кому дают улучшенное,общежитие,просто интересно кому дают улучшенное,просто интересно кому дают улучшенное,прост интересн ком дают улучшен,просто интересно давать улучшать
20,"Добрый день! Подскажите,пожалуйста, поставили случайно галку на общежитие при подаче документов лично,снять в личном кабинете не получилось, звонили в приёмную комиссию у них тоже не получилось снять её. Как быть в этой ситуации?",технические проблемы,добрый день  подскажите пожалуйста  поставили случайно галку на общежитие при подаче документов лично снять в личном кабинете не получилось  звонили в приёмную комиссию у них тоже не получилось снять её  как быть в этой ситуации ,подскажите поставили случайно галку общежитие подаче документов лично снять личном кабинете не получилось звонили приёмную комиссию не получилось снять её ситуации,подскаж постав случайн галк общежит подач документ личн снят личн кабинет не получ звон приемн комисс не получ снят е ситуац,поставлять случайно галка общежитие подача документ лично снимать личный кабинет не получаться звонить приемный комиссия не получаться снимать ситуация
21,"Извините, а вот есть вопрос по поводу скорее учебного плана. Правильно я понимаю, что если я запишусь в спортивную секцию, то я могу не посещать физкультуру? Или как это работает?",обучение,извините  а вот есть вопрос по поводу скорее учебного плана  правильно я понимаю  что если я запишусь в спортивную секцию  то я могу не посещать физкультуру  или как это работает ,извините поводу скорее учебного плана правильно понимаю запишусь спортивную секцию могу не посещать физкультуру работает,извин повод скор учебн план правильн понима запиш спортивн секц мог не посеща физкультур работа,извинять повод скоро учебный план правильно понимать записываться спортивный секция не посещать физкультура работать
22,Какие спортсекции есть?,обучение,какие спортсекции есть ,какие спортсекции,как спортсекц,спортсекция
23,"Здравствуйте!На сайте МАИ появились ранжированные списки ,но когда они заработают?Есть ли информация ?",конкурсные списки,здравствуйте на сайте маи появились ранжированные списки  но когда они заработают есть ли информация  ,сайте появились ранжированные списки заработают информация,сайт появ ранжирова списк заработа информац,сайт появляться ранжировать список зарабатывать информация
24,"Доброе утро. Учитывается ли в ИД участие в заключительном этапе олимпиады Физтеха по математике? В Информации о порядке учета индивидуальных достижений поступающих есть п. 8 Таблицы 1, который позволяет  учитывать участие в мероприятиях из Перечня, утв.МинПросвещения",индивидуальные достижения,доброе утро  учитывается ли в ид участие в заключительном этапе олимпиады физтеха по математике  в информации о порядке учета индивидуальных достижений поступающих есть п    таблицы    который позволяет учитывать участие в мероприятиях из перечня  утв минпросвещения,доброе утро учитывается ид участие заключительном этапе олимпиады физтеха математике информации порядке учета индивидуальных достижений поступающих п таблицы который позволяет учитывать участие мероприятиях перечня утв минпросвещения,добр утр учитыва ид участ заключительн этап олимпиад физтех математик информац порядк учет индивидуальн достижен поступа п таблиц котор позволя учитыва участ мероприят перечн утв минпросвещен,утро учитываться иды участие заключительный этап олимпиада физтех математика информация порядок учет индивидуальный достижение поступать п таблица который позволять учитывать участие мероприятие перечень утв минпросвещение
25,"Скажите, а договор и квитанцию на оплату как можно получить (онлайн и лично)?",квота,скажите  а договор и квитанцию на оплату как можно получить  онлайн и лично  ,скажите договор квитанцию оплату получить онлайн лично,скаж договор квитанц оплат получ онлайн личн,договор квитанция оплата получать онлайн лично
26,"Как попасть на участие в конкурсе на платное, если уже участвуешь в конкурсе на бюджет (через ЛК)? Количество платных мест ограничено? Интересует 01.03.02, 01.03.04 и 02.03.02. Договор оформляется лично или можно онлайн?",квота,как попасть на участие в конкурсе на платное  если уже участвуешь в конкурсе на бюджет  через лк   количество платных мест ограничено  интересует                    и           договор оформляется лично или можно онлайн ,попасть участие конкурсе платное участвуешь конкурсе бюджет лк количество платных мест ограничено интересует договор оформляется лично онлайн,попаст участ конкурс платн участвуеш конкурс бюджет лк количеств платн мест огранич интерес договор оформля личн онлайн,попадать участие конкурс платный участвовать конкурс бюджет лк количество платный место ограничивать интересовать договор оформляться лично онлайн
27,"Здравствуйте, подскажите почему на направление 01.03.00 Компьютерные науки и прикладная математика (Бюджет) написано, что всего мест 225, хотя изначально писали, что набор 250 мест?",технические проблемы,здравствуйте  подскажите почему на направление          компьютерные науки и прикладная математика  бюджет  написано  что всего мест      хотя изначально писали  что набор     мест ,подскажите направление компьютерные науки прикладная математика бюджет написано мест хотя изначально писали набор мест,подскаж направлен компьютерн наук прикладн математик бюджет написа мест хот изначальн писа набор мест,направление компьютерный наука прикладной математика бюджет написать место хотя изначально писать набор место
28,И ещё 1 вопрос: будут ли кафедры претерпевать изменения в этом году? Особенно интересует 806 информатика,обучение,и ещё   вопрос  будут ли кафедры претерпевать изменения в этом году  особенно интересует     информатика,ещё будут кафедры претерпевать изменения году особенно интересует информатика,ещ будут кафедр претерпева изменен год особен интерес информатик,кафедра претерпевать изменение год особенно интересовать информатика
29,А почему я не могу найти в ранжированных списках специальность 24.05.05,конкурсные списки,а почему я не могу найти в ранжированных списках специальность         ,не могу найти ранжированных списках специальность,не мог найт ранжирова списк специальн,не находить ранжировать список специальность
30,"Здравствуйте! Подали заявление через Госуслуги. Пришел отказ по всем направлениям. Однако увидела себя в рейтинге на ФИИТ в файле. Надо ли подавать заявления заново? И второй вопрос - как подать и какое направление выбрать на Госуслугах, чтобы подать заявление на бюджет на КНиПМ?",госуслуги,здравствуйте  подали заявление через госуслуги  пришел отказ по всем направлениям  однако увидела себя в рейтинге на фиит в файле  надо ли подавать заявления заново  и второй вопрос   как подать и какое направление выбрать на госуслугах  чтобы подать заявление на бюджет на книпм ,подали заявление госуслуги пришел отказ всем направлениям однако увидела рейтинге фиит файле заявления заново второй подать какое направление выбрать госуслугах подать заявление бюджет книпм,пода заявлен госуслуг пришел отказ всем направлен однак увидел рейтинг фи файл заявлен занов втор пода как направлен выбра госуслуг пода заявлен бюджет книпм,заявление госуслуга приходить отказ весь направление однако увидеть рейтинг фиит файл заявление заново второй направление выбирать госуслуга заявление бюджет книпм
31,"Здравствуйте, хотел бы узнать, можно ли подать параллельно с заявлением на бюджет заявление на платное? Что нужно будет сделать с заявлением на платное, при проходе на бюджет? Где посмотреть количество платных мест на интересующие направления?",квота,здравствуйте  хотел бы узнать  можно ли подать параллельно с заявлением на бюджет заявление на платное  что нужно будет сделать с заявлением на платное  при проходе на бюджет  где посмотреть количество платных мест на интересующие направления ,хотел узнать подать параллельно заявлением бюджет заявление платное нужно сделать заявлением платное проходе бюджет посмотреть количество платных мест интересующие направления,хотел узна пода параллельн заявлен бюджет заявлен платн нужн сдела заявлен платн проход бюджет посмотрет количеств платн мест интерес направлен,параллельно заявление бюджет заявление платный нужно сделать заявление платный проход бюджет посмотреть количество платный место интересовать направление
32,"Здравствуйте, подал на КНиПМ. Интересует только кафедра 806. По какому принципу идёт распределение по кафедрам и как мне попасть именно туда?",распределение по кафедрам,здравствуйте  подал на книпм  интересует только кафедра      по какому принципу идёт распределение по кафедрам и как мне попасть именно туда ,подал книпм интересует кафедра какому принципу идёт распределение кафедрам попасть туда,пода книпм интерес кафедр как принцип идет распределен кафедр попаст туд,книпм интересовать кафедра принцип идти распределение кафедра попадать туда
33,"Подскажите, как записаться в приёмную комиссию подать  оригинал аттестата?",контакты,подскажите  как записаться в приёмную комиссию подать оригинал аттестата ,подскажите записаться приёмную комиссию подать оригинал аттестата,подскаж записа приемн комисс пода оригина аттестат,записываться приемный комиссия оригинал аттестат
34,Добрый день! Возможен ли перевод в процессе обучения между институтами 1 и 8?),обучение,добрый день  возможен ли перевод в процессе обучения между институтами   и    ,возможен перевод процессе обучения институтами,возмож перевод процесс обучен институт,возможный перевод процесс обучение институт
35,"Извините, а куда идти? Подошёл в приёмную комиссию, внутрь без паспорта не впускают, никого нет. Что делать?",контакты,извините  а куда идти  подошёл в приёмную комиссию  внутрь без паспорта не впускают  никого нет  что делать ,извините идти подошёл приёмную комиссию внутрь паспорта не впускают никого нет делать,извин идт подошел приемн комисс внутр паспорт не впуска ник нет дела,извинять идти подходить приемный комиссия внутрь паспорт не впускать никто нет делать
36,Никого нет. Куда идти?,контакты,никого нет  куда идти ,никого нет идти,ник нет идт,никто нет идти
37,"Добрый день. Подавали докоменты через госуслуги. Хотели отредактировать, но на госуслугах нет ни ПИ ни ПМИ бюджет, только платно предлагают. Нет Компьютерных наук. Как на госуслугах выбрать 8 институт. Мы выбрали только ФИИТ, но там 50 мест, хотим, где 250.",госуслуги,добрый день  подавали докоменты через госуслуги  хотели отредактировать  но на госуслугах нет ни пи ни пми бюджет  только платно предлагают  нет компьютерных наук  как на госуслугах выбрать   институт  мы выбрали только фиит  но там    мест  хотим  где     ,подавали докоменты госуслуги хотели отредактировать госуслугах нет пи пми бюджет платно предлагают нет компьютерных наук госуслугах выбрать институт выбрали фиит мест хотим,подава докомент госуслуг хотел отредактирова госуслуг нет пи пми бюджет платн предлага нет компьютерн наук госуслуг выбра институт выбра фи мест хот,докомент госуслуга отредактировать госуслуга нет пи пми бюджет платно предлагать нет компьютерный наука госуслуга выбирать институт выбирать фиит место
38,"Заявление отредактировал, отправила. Когда заходишь обратно, то заявление без изменений. Вообще не видно, что что-то менялось.",технические проблемы,заявление отредактировал  отправила  когда заходишь обратно  то заявление без изменений  вообще не видно  что что то менялось ,заявление отредактировал отправила заходишь обратно заявление изменений вообще не видно менялось,заявлен отредактирова отправ заход обратн заявлен изменен вообщ не видн меня,заявление отредактировать отправлять заходить обратно заявление изменение вообще не видно меняться
39,"Здравствуйте, можно ли будет перевестись с платного на бюджет после первого семестра, при наличии освободившихся мест и хорошо сданной сессии, или перевод возможен только между курсами?",обучение,здравствуйте  можно ли будет перевестись с платного на бюджет после первого семестра  при наличии освободившихся мест и хорошо сданной сессии  или перевод возможен только между курсами ,перевестись платного бюджет первого семестра наличии освободившихся мест сданной сессии перевод возможен курсами,перевест платн бюджет перв семестр налич освобод мест сдан сесс перевод возмож курс,переводиться платный бюджет первый семестр наличие освобождаться место сдавать сессия перевод возможный курс
40,"Подскажите ещё, пожалуйста, после изменения направления на госуслугах, теперь статус заявления ""необходимо исправление"". Исправление с вашей стороны?",госуслуги,подскажите ещё  пожалуйста  после изменения направления на госуслугах  теперь статус заявления  необходимо исправление   исправление с вашей стороны ,подскажите ещё изменения направления госуслугах статус заявления необходимо исправление исправление вашей стороны,подскаж ещ изменен направлен госуслуг статус заявлен необходим исправлен исправлен ваш сторон,изменение направление госуслуга статус заявление необходимый исправление исправление ваш сторона
41,"Насколько я поняла, что подача согласий через госуслуги это право, а не обязанность.",госуслуги,насколько я поняла  что подача согласий через госуслуги это право  а не обязанность ,насколько поняла подача согласий госуслуги право не обязанность,наскольк поня подач соглас госуслуг прав не обязан,насколько понимать подача согласие госуслуга право не обязанность
42,"Добрый день, где-нибудь можно найти характеристики учебных курсов?",описание направлений,добрый день  где нибудь можно найти характеристики учебных курсов ,найти характеристики учебных курсов,найт характеристик учебн курс,находить характеристика учебный курс
43,"Если уже отнес оригинал и согласие на ФИИТ, можно ли будет дистанционно перевести документ на КН и ПМ?",документы,если уже отнес оригинал и согласие на фиит  можно ли будет дистанционно перевести документ на кн и пм ,отнес оригинал согласие фиит дистанционно перевести документ кн пм,отнес оригина соглас фи дистанцион перевест документ кн пм,относить оригинал согласие фиит дистанционно перевести документ кн пм
44,"Здравствуйте, какой был в прошлом году балл на получение общежития?",общежитие,здравствуйте  какой был в прошлом году балл на получение общежития ,прошлом году балл получение общежития,прошл год балл получен общежит,прошлый год балл получение общежитие
45,Здравствуйте! А где можно найти актуальный учебный план пми? На сайте есть только за 2017-2018.,описание направлений,здравствуйте  а где можно найти актуальный учебный план пми  на сайте есть только за           ,найти актуальный учебный план пми сайте,найт актуальн учебн план пми сайт,находить актуальный учебный план пми сайт
46,"Здравствуйте! А если общая квота вся займётся, но у людей в роскосмосе, которые не прошли, баллов больше, чем у людей из общей квоты. То из роскосмоса люди переводятся в общую квоту или нет?",квота,здравствуйте  а если общая квота вся займётся  но у людей в роскосмосе  которые не прошли  баллов больше  чем у людей из общей квоты  то из роскосмоса люди переводятся в общую квоту или нет ,общая квота вся займётся людей роскосмосе которые не прошли баллов людей общей квоты роскосмоса люди переводятся общую квоту нет,общ квот вся займет люд роскосмос котор не прошл балл люд общ квот роскосмос люд перевод общ квот нет,общий квота весь заниматься человек роскосмос который не проходить балл человек общий квота роскосмос человек переводиться общий квота нет
47,"Скажите, а где нужно указать этот приоритетный профиль? Сейчас уже в личном кабинете это можно сделать или нужно потом специально писать какое-то заявление?",распределение по кафедрам,скажите  а где нужно указать этот приоритетный профиль  сейчас уже в личном кабинете это можно сделать или нужно потом специально писать какое то заявление ,скажите нужно указать приоритетный профиль личном кабинете сделать нужно специально писать какое заявление,скаж нужн указа приоритетн профил личн кабинет сдела нужн специальн писа как заявлен,нужно указывать приоритетный профиль личный кабинет сделать нужно специально писать заявление
48,А на что влияет приоритет? Ведь согласие можно подать на любое направление?,порядок приема,а на что влияет приоритет  ведь согласие можно подать на любое направление ,влияет приоритет согласие подать любое направление,влия приоритет соглас пода люб направлен,влиять приоритет согласие любой направление
49,Где указать этот приоритет? В заявлении на приём  в личном кабинете?,распределение по кафедрам,где указать этот приоритет  в заявлении на приём в личном кабинете ,указать приоритет заявлении приём личном кабинете,указа приоритет заявлен при личн кабинет,указывать приоритет заявление прием личный кабинет
50,"Мы когда заполняли через госуслуги, там не было отметок о приоритетах. А в институтах видях наши приоритеты.",госуслуги,мы когда заполняли через госуслуги  там не было отметок о приоритетах  а в институтах видях наши приоритеты ,заполняли госуслуги не отметок приоритетах институтах видях наши приоритеты,заполня госуслуг не отметок приоритет институт вид наш приоритет,заполнять госуслуга не отметка приоритет институт видь наш приоритет
