text,tag
"Мы когда заполняли через госуслуги, там не было отметок о приоритетах. А в институтах видях наши приоритеты.",госуслуги
"Ранжировка - сортировка То о чем ты, это вроде списки по согласия и оригиналам",конкурсные списки
"Напомните пожалуйста, а когда дедлайн подачи заявления?",даты приема
"Подскажите пожалуйста, как посмотреть списки поступающих по целевому договору",конкурсные списки
"Скажите пожалуйста, будет ли в воскресенье работать приёмная комиссия?",контакты
Здравствуйте! Как и где узнать регистрационный номер заявления. Спасибо!,технические проблемы
"Можно узнать по какой причине не производится перерасчет баллов за ИД с 22.07, после внесения изменения (добавления диплома), в ранее поданное  заявление, через ЛКА?",технические проблемы
"Подскажите, пожалуйста, что надо иметь с собой, при подаче согласия на зачисление?",документы
"Сегодня вы говорили про возможность учиться первый курс за счет университета, если буквально чуть-чуть не хватило, чтобы поступить. Какая разница в баллах дает такую возможность (1, 2, 3 от проходного) или же выделяется строго определенное количество мест? Ведь за границей может оказаться 10 человек, которым не хватило 1 балла, например",квота
"Можно узнать сколько из 250 мест на меганаправлении 01.03.00 отводится для прикладной математики, а сколько для прикладной математики и информатики?",описание направлений
"Что нужно, чтобы воспользоваться этим предложением от ВУЗа (если вдруг случилось, что не хватило немного баллов)?",квота
"А ситуация с особой квотой, можно ли попасть в приказ после 30 июля?",квота
"А сколько мест для ""целевиков МАИ""?",квота
А целевик МАИ что-то потом должен МАИ (отработать)?,квота
"Что нужно с собой брать, когда несёшь ""оригиналы""?",документы
"Подскажите пожалуйста, могут ли после 27 числа списки пополняться ?",конкурсные списки
"Подскажите, заранее записаться в личном кабинете на подачу оригинала аттестата возможно? Или только живая очередь?",документы
"Из Госуслуг насколько оперативно подгружается информация? Не получится, что 03.08 выгрузится и картина по ранжированным спискам будет ""смазана""?",госуслуги
"Здравтсвуйте, работает ли приёмная комиссия в субботу?",контакты
расскажите пожалуйста как студентов 8 института делят на группы/потоки -- случайно или есть критерии? сколько человек в группе и для скольких групп читается лекция?,обучение
Почему-то ошибку выдает при подключении,технические проблемы
"Целевик маи - дополнительно нужно ""согласие на спу""? Не совсем расслышала, что это такое?",квота
"Если 03.08 повиснет сайт вуза, останется как средство коммуникации только телефон Пр.комиссии?",технические проблемы
"Здравствуйте. Подавал документы через госуслуги на КНиПМ, недавно подал подлинник и согласие на зачисление. Как мне объяснили, это направление включает в себя ПМИ и ПМ. В конкурсном списке на КНиПМ моё согласие отображается. Каким образом мне попасть в конкурсный список на ПМИ и насколько велики шансы поступить на это направление с 266 баллами?",распределение по кафедрам
"Здравствуйте, как обстоят дела с иностранными языками, особенно интересует английский? Как проходят зачёты и какой уровень нужен?",обучение
"А будучи целевиком МАИ, есть ли возможность получить место в общежитии?",общежитие
"Здравствуйте, а где на сайте можно найти документ о согласии на зачисление или его непосредственно в приемной комиссий заполнять надо будет?",порядок приема
"И если подавали документы через личный кабинет, то согласие через личный кабинет можно ли подать? И это просто кнопочку нажать,? Или скачать документ нужно будет, подписать, отсканировать и отправить?",порядок приема
"Не понятно тогда зачем кнопочка? Можно ли лично подать аттестат, а согласие потом через личный кабинет? И поменять факультет, на который согласие оставить через личный кабинет тогда как???",порядок приема
"и еще вопрос: есть какие-то другие документы, кроме аттестата и индивидуальных достижений, которые в приемную комиссию лично отдавать?",документы
А просто подать аттестат без письменного согласия возможно ли? А потом согласие до 3авг через личный кабинет. В субботу до каких работаете?,порядок приема
"А разве в правилах приема так прописано??? Во всех вузах вижу сейчас что есть отметка аттестат, а отметки согласия у многих нет. Ничего ли вы не нарушаете требуя согласие сразу с аттестатом?  То что у вас так настроено уверена не проблема абитуриентов. Поэтому прошу указать пункт правил приема в котором указано, что согласие вместе с аттестатом надо подавать .",порядок приема
"Здравствуйте! Подскажите, пожалуйста, на 02.03.02 возможно рассматривать целевое МАИ с 254 баллами?",квота
"В таком случае действует уже порядок приема. А там не прописано что аттестат и согласие только вместе подавать нужно. На мой взгляд, вы нарушаете порядок приема....",порядок приема
"У меня вопрос про секцию олимпиадного  Программирования. Какие требования, чтобы туда попасть?",обучение
"Подскажите, пожалуйста, а по целевому МАИ когда крайний день принятия решения для абитуриента? Срок подачи согласия ?",даты приема
А приказы сегодняшние во сколько будут?,документы
"Добрый день, учась на 8 институте можно как-то соприкоснуться с низкоуровневым программированием, программированием ПЛК, SCADA систем?",обучение
Какой приоритет среди предметов?,порядок приема
Добрый день. Как обстоят дела с Госуслугами? Все ли выгружено оттуда в ранжированные списки?,госуслуги
"Здравствуйте , подскажите пожалуйста, если уже зачислен с общежитием , то когда и как можно в него заселиться?",общежитие
Здравствуйте! А когда можно заключить договор на целевое от МАИ?,квота
Вопрос: где учится первый курс?,обучение
"Помнится, кто-то говорил о возможности попросить заселить в общежитие вместе с другом/знакомцем. К кому можно обратиться и когда?",общежитие
Доброе утро ! Будет ли обновление конкурсных списков С учетом Госуслуг ?,конкурсные списки
"Добрый день! Будет ли для зачисленных какая встреча/знакомство в конце августа? Если - да, то в каком формате?",обучение
"И ещё вопрос: правильно ли я понимаю, что справкой медицинской лучше сейчас заняться, пока время есть. Так как она понадобится в сентябре для физкультуры.",документы
А когда примерно обновят списки не известно? Обед или вечер,конкурсные списки
"А что за медицинская справка? Поясните, пожалуйста",документы
А когда примерно обновят списки не известно? Обед или вечер,конкурсные списки
а будут ли ещё списки обновляться?,конкурсные списки
"Добрый день, скажите, пож-та, перед тем как взять направление в дирекции студ городка надо пройти обследование в мед. центре МАИ? Мед. обследование можно сделать раньше 25 числа или только в день заселения?",общежитие
Здравствуйте. В какие общежития заселяют первокурсников 8 института?,общежитие
Выбор кафедры будет в ЛК? Когда можно выбирать?,распределение по кафедрам
Добрый день. Обещали обзванивать зачисленных абитуриентов для распределения по направлениям 01.03.02 и 01.03.04. Когда ждать звонка?,распределение по кафедрам
"Добрый день! Подскажите, пожалуйста, когда происходит распределение на профили подготовки (которые мы расставляли по приоритету) ?",распределение по кафедрам
Добрый вечер! Как завтра работает приемная комиссия?,контакты
"Здравствуйте. Просят выбрать профиль в лк. Нужно ли это делать тем, кто в Гугл формах заполнял?",распределение по кафедрам
"Всем добрый день. Кто-нибудь подскажите, пожалуйста, на какие параметры ориентироваться при выборе ноутбука. Чтобы комфортно было учиться",обучение
"Здравствуйте. Нигде не могу найти форму согласия на заселение в общежитие для несовершеннолетних. Может кто-нибудь подсказать, где её найти?",общежитие
"Подскажите, если приходишь заполнять документы, надо приходить уже с фото на студенческ, зачетку и т.д. Или фото можно сделать на месте также как на пропуск?",документы
"Здравствуйте! Получили комнату в общежитии корпуса N3 на К. Царёва 12. Чему безмерно рады. Единственный момент - со слов ребят (родителей, к сожалению не пускают) требуется небольшой косметический ремонт, кое что подправить, поменять замки, т.к.отваливаются.... К коменданту не пускают, контактные телефоны, указанные на сайте, находятся на проходной у охраны. Подскажите, пожалуйста, как решить такие вопросы? Куда обратиться?",общежитие
"Здравствуйте. Хочу поинтересоваться графиком начала занятий. Какого числа, во сколько и куда нам подходить, что рекомендуется взять в первый день?",обучение
Здравствуйте  Всё друзья уже как-то зашли в беседы первокурсников  Если кто знает подскажите туда дорогу ),обучение
"Привет, ребят Как я могу узнать, на какую кафедру меня возьмут?  Там же есть информатика и компьютерные какие-тт методы",распределение по кафедрам
"А при переводе помимо учебы что-то учитывается? Например, успехи в кружке проги",обучение
"О, точно, какие электроприборы запрещены в общежитии?",общежитие
"А как вообще преподают программирование и информатику на фиит, обучение разным языком начинается с нуля?",обучение
"Кстаааати, можно ли конспектировать всякие гум.предметы в ноуте?",обучение
"Что делать, если подружка 34/33 на общагу ? Можно ли как-то получить общагу на 2 волне или вообще что делать то а",общежитие
"А много вообще вылетает людей с 8 института? Сколько вас, выпускников, дошло до конца?",обучение
А как дела с практикой в МАИ? И много ли студентов работали на 3-4 курсах?,обучение
"А можно вместо ОФП ходить в спортзал, который находится в общежитии или где-нибудь неподалеку?",обучение
А дополнительные занятия английского языка есть? И хорошо ли его преподают?,обучение
"Я в плане нагрузки на первом курсе в принципе, вы просто сказали, что лучше не тратить силы, это означает, что будет и так очень тяжело?",обучение
А как можно узнать тебе предоставят общагу или нет?,общежитие
А сколько в среднем пар у 1 курса? Когда самое раннее и позднее время окончания учебы ?,обучение
"скажите, пожалуйста, есть ли какой-нибудь кружок пения или чего-то, связанного с музыкой?)",обучение
"Где учится 8 фак, в трешке ремонт идет?",контакты
"Поясните пожалуйста, могут ли появиться новые люди в рейтинговых списках завтра и послезавтра?",конкурсные списки
"А что покупать к учебному году, какие тетради советуете, что важно приобрести первокурснику?",обучение
"Я зачислена,но хочу забрать заявление. Как долго это будет?",порядок приема
Как долго идет отчисление?,порядок приема
"Извините, может уже задавали вопрос, но я что-то не увидел. Когда ждать приказа о зачислении?",даты приема
"Уважаемые,студенты 8 института Что вы думаете о 3 институте? Насколько плохо там с програмированием?",обучение
"Падажжите, с общаги ливать на более чем 1 день нельзя?",общежитие
"Ребят, подскажите, пожалуйста, ФИИТ - это какая кафедра, не могу нигде найти, ни в сообщениях выше, ни на сайте",описание направлений
Извините. А стоит ли ждать таких же проблем с зависшим списком и долгой публикацией результатов у второй волны?,технические проблемы
"Кстати, хотелось бы узнать, сложно ли перевестись с фиита на пми после первого",обучение
"Добрый день, в документах необходимых для заселения в общежитие сказано, что нужна копия приписного свидетельства с отметкой о снятии с воинского учёта, однако мы сейчас с другом пришли в военкомат и нам сказали, что по закону нас не могут снять с учёта сейчас, так как мы еще не зарегистрированы там.",общежитие
"Добрый день, на сайте приемной комиссии последнее обновление рейтинговых списков было вчера в 23:37 по прикладной математике и информатике. Когда будут новые обновления? Или никто новый не подался и обновлять нечего? Проясните пожалуйста ситуацию.",конкурсные списки
"Окей...  Я поняла, что мой друг будет учиться на Молодежной, а я на Войковской В таком случае возможно мне стоит забрать документы и пойти в вшэ со скидкой 70% Нужен совет. Стоит ли?  Тут прикладная математика и информатика, а там прикладная математика  Я занимаюсь программированием и думаю продолжать им заниматься во время учёбы Там в учебном плане программирования не очень много.  Хочу спросить. Как на 8 институте преподают программировние?  На каком языке?  И что учат на ""искусственном интеллекте""?",обучение
А во сколько будет самое последнее обновление?,конкурсные списки
Когда приказ выйдет?,даты приема
"Доброе утро, не подскажете где найти форму заявления на отчисление?",документы
А что за извещения и для чего они нужны?,документы
Здравствуйте. Нужны ли какие-нибудь справки для поступления в МАИ?,документы
"Если меня интересует преимущественно Программироаание, разработка ПО, является ли для меня подходящим направление ""Математика и Информатика""?",описание направлений
"Здравствуйте, скажите, пожалуйста, я правильно понял, что на 1 курсе программа у направлений ПМ и ПМИ одинаковая, а начиная со 2 курса уже можно будет сделать выбор и перевестись на более интересное направление?",описание направлений
"Добрый день) Яляется ли обучение на направлениях 01.03.02 и 01.03.04 только платным? Когда выбирала направления на сайте вашего университета, задала фильтр ""Бюджет"", и в списке отфильтрованных направлений были и эти два.",описание направлений
"Подскажите пожалуйста, сколько баллов добавляют за предпрофессиональный экзамен?",индивидуальные достижения
"Подскажите пожалуйста, в маи шестидневка?",обучение
"Добрый вечер.Подскажите, пожалуйста, кроме пофамильного списка абитуриентов есть ли возможность взглянуть на список с баллами, чтобы оценить свои шансы на поступление?",конкурсные списки
"Здравствуйте! Никто не может подсказать, почему отклонили заявление о поступлении?",технические проблемы
"Доброй ночи, хотелось бы узнать как предоставляется общежитие? много ли мест?",общежитие
Добрый день! Возможно ли на сегодняшний день ознакомиться с ранжированными конкурсными списками?,конкурсные списки
"Здравствуйте! Собираюсь поступать по направлению ПМИ. Не могли бы Вы, пожалуйста, объяснить, что из себя представляют группы приёма? Сколько их можно выбрать? Возможно ли потом изменить их в своём заявлении? Заранее благодарен Вам за ответ.",распределение по кафедрам
а как обстоят дела с общагами?,общежитие
и всех ли заселяют туда или нужен минимальный балл для гарантированного заселения?,общежитие
Когда начнут выкладывать списки  поступающих с баллами,конкурсные списки
"Извините пожалуйста, кто-нибудь знает, сколько примерно ждать подтверждения олимпиады, которая дает БВИ? А то я вот доки подал, их приняли, согласие на зачисление уже тоже подал, но в списках я отображен как поступающий по ЕГЭ.",индивидуальные достижения
"Привет, а что насчёт дополнительных занятий и секций? Есть что-то подобное, чем заняться кроме учёбы?",обучение
"Привет!  Хотел спросить на счëт стипендии, если такая информация сейчас есть. Чего можно ждать? Правда ли, что за посещение секций стипендию увеличивают?",обучение
"А как вообще работает подача согласия на зачисление? И как в этом году вообще понимать проходишь ты на бюджет, на платку или вообще не проходишь",порядок приема
"Ну вот в августе публикуется списки с баллами, но там же не написано, что ты точно проходишь на бюджет и все зависит от ситуации, сколько отзовут заявлений, и по сути ты подаешь в слепую",порядок приема
"Добрый день. Могу ли я сейчас подать заявление на платку,  если уже подал на бюджет, но сомневаюсь в своих баллах?",квота
"Здравствуйте. При подаче заявления, под «Я участвовал в олимпиадах школьников» олимпиады нужно указывать относящиеся непосредственно к тем предметам, которые требуется для этого факультета или любые олимпиады? И как правильнее заполнить эту строку?",индивидуальные достижения
"Здравствуйте! Подскажите пожалуйста! При подаче документов оставим согласие на одно из направлений.Если по данному направлению не проходим по конкурсу на бюджетное место,как поступить, чтобы принять участие в конкурсе на других выбранных направлениях?",порядок приема
"объединили два направления и получается в этом году 250 бюджетных мест, а как дальше будет происходить распределение?",распределение по кафедрам
"Кстати, а как понять, сколько мне докинут за ИД?",индивидуальные достижения
А че как фиит?,описание направлений
Хуже чем 806 или просто другое?,описание направлений
чтобы уйти в data science какой факультет ближе?,описание направлений
Насколько сильна дискра и есть ли сборная по олимпиадному программированию?,обучение
а как отозвать заявление? <:),технические проблемы
Привет. Где можно посмотреть проходные баллы прошлых лет?(разных направлений),описание направлений
Тогда вопрос. Сколько раз можно отзывать и подавать согласие между вузами и внутри одного вуза?,порядок приема
"извините еще раз, нажимаю на кнопку ""отозвать"" и меня перебрасывает на редактирование заявления, может, со мной что-то не так?",технические проблемы
"А сейчас нельзя узнать как-то, какое у меня место по баллам?",конкурсные списки
"Моя заявка была принята, но я хотел убедиться в том, что один момент заполнил правильно, нажал изменить. Все оказалось правильно, поэтому просто нажимал на «далее», в итоге статут заявки снова был «ожидает». Дело в том, что до этого ее проверили довольно быстро и я уже был добавлен в конкурсные списки, а теперь что-то все еще висит «ожидает». Мне оставить все как есть и просто ждать?",технические проблемы
У меня не отображаются направления в заявке. Что мне делать?,технические проблемы
"Привет, не знаете когда появится конкурсные списки?(Которые по баллам отсортированы, а не в алфавитном порядке)",конкурсные списки
"Подскажите, если я поступлю, но не получу общежитие по конкурсу, мне могут его предоставить спустя какое-то время (кто-то отчислиться или тп)?",общежитие
"Ладно, спасибо, а что по поводу обучения по обмену/за рубежом?",обучение
Можно ли посмотреть конкурсные списки МАИ сейчас?,конкурсные списки
"Всем привет, какой конкурс на общагу был в прошлом году?",общежитие
"Кстати, подскажите пожалуйста. Если в личном кабинете уже написано, что я участвую в клнкурсе на зачисление, это значит,что вся информация, которую я подал(включая баллы ЕГЭ) проверена и подтверждена? А то еле сдерживаюсь от того,чтобы лишний раз не нажать редактировать заявление и проверить данные :)",технические проблемы
Когда появятся рейтинговые списки?,конкурсные списки
Здравствуйте. Мне не добавили доп баллы за аттестат с отличием и за призерство на олимпиаде. Куда можно обратиться?,индивидуальные достижения
